team1,team2,winner,margin,ground,match_date,potm
Netherlands,Pakistan,Pakistan,3 wickets,SSC Colombo,07-02-2026,Faheem Ashraf
West Indies,Scotland,West Indies,35 runs,Kolkata,07-02-2026,Shimron Hetmyer
India,U.S.A.,India,29 runs,Mumbai,07-02-2026,Suryakumar Yadav
Afganistan,New Zealand,New Zealand,5 wickets,Chennai,08-02-2026,Tim Seifert
England,Nepal,England,4 runs,Mumbai,08-02-2026,Will Jacks
Sri Lanka,Ireland,Sri Lanka,20 runs,RPS Colombo,08-02-2026,Kamindu Mendis
Scotland,Italy,Scotland,73 runs,Kolkata,09-02-2026,Michael Leask
Zimbabwe,Oman,Zimbabwe,8 wickets,SSC Colombo,09-02-2026,Blessing Muzarabani
South Africa,Canada,South Africa,57 runs,Ahmedabad,09-02-2026,Lungi Ngidi
Netherlands,Namibia,Netherlands,7 wickets,Delhi,10-02-2026,Bas de Leede
New Zealand,U.A.E.,New Zealand,10 wickets,Chennai,10-02-2026,Tim Seifert
Pakistan,U.S.A.,Pakistan,32 runs,SSC Colombo,10-02-2026,Sahibzada Farhan
South Africa,Afganistan,South Africa,4 runs,Ahmedabad,11-02-2026,Lungi Ngidi
Australia,Ireland,Australia,67 runs,RPS Colombo,11-02-2026,Nathan Ellis
England,West Indies,West Indies,30 runs,Mumbai,11-02-2026,Sherfane Rutherford
Sri Lanka,Oman,Sri Lanka,105 runs,Kandy,12-02-2026,Pavan Rathnayake
Nepal,Italy,Italy,10 wickets,Mumbai,12-02-2026,Crishan Kalugamage
India,Namibia,India,93 runs,Delhi,12-02-2026,Hardik Pandya
Australia,Zimbabwe,Zimbabwe,23 runs,RPS Colombo,13-02-2026,Blessing Muzarabani
Canada,U.A.E.,U.A.E.,5 wickets,Delhi,13-02-2026,Junaid Siddique
U.S.A.,Netherlands,U.S.A.,93 runs,Chennai,13-02-2026,Harmeet Singh Baddhan
Ireland,Oman,Oman,96 runs,SSC Colombo,14-02-2026,Lorcan Tucker
England,Scotland,England,5 wickets,Kolkata,14-02-2026,Tom Banton
New Zealand,South Africa,South Africa,7 wickets,Ahmedabad,14-02-2026,Marco Jansen
West Indies,Nepal,West Indies,9 wickets,Mumbai,15-02-2026,Jason Holder
U.S.A.,Namibia,U.S.A.,31 runs,Chennai,15-02-2026,Sanjay Krishnamurthi
India,Pakistan,India,61 runs,RPS Colombo,15-02-2026,Ishan Kishan
Afganistan,U.A.E.,Afganistan,5 wickets,Delhi,16-02-2026,Azmatullah Omarzai
England,Italy,England,24 runs,Kolkata,16-02-2026,Will Jacks
Sri Lanka,Australia,Sri Lanka,8 wickets,Kandy,16-02-2026,Pathum Nissanka
New Zealand,Canada,New Zealand,8 wickets,Chennai,17-02-2026,Glenn Phillips
Ireland,Zimbabwe,abandoned,,Kandy,17-02-2026,
Scotland,Nepal,Nepal,7 wickets,Mumbai,17-02-2026,Dipendra Singh Airee
South Africa,United Arab Emirates,South Africa,6 wickets,Delhi,18-02-2026,Corbin Bosch
Pakistan,Namibia,Pakistan,102 runs,SSC Colombo,18-02-2026,Sahibzada Farhan
India,Netherlands,India,17 runs,Ahmedabad,18-02-2026,Shivam Dube
West Indies,Italy,West Indies,42 runs,Kolkata,19-02-2026,Shai Hope
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,RPS Colombo,19-02-2026,Sikandar Raza
Afghanistan,Canada,Afghanistan,82 runs,Chennai,19-02-2026,Ibrahim Zadran
Australia,Oman,Australia,9 wickets,Kandy,20-02-2026,Adam Zampa
New Zealand,Pakistan,abandoned,,RPS Colombo,21-02-2026,
Sri Lanka,England,England,51 runs,Kandy,22-02-2026,Will Jacks
India,South Africa,South Africa,76 runs,Ahmedabad,22-02-2026,David Miller
Zimbabwe,West Indies,West Indies,107 runs,Mumbai,23-02-2026,Shimron Hetmyer
England,Pakistan,England,2 wickets,Kandy,24-02-2026,Harry Brook
Sri Lanka,New Zealand,New Zealand,61 runs,RPS Colombo,25-02-2026,Rachin Ravindra
West Indies,South Africa,South Africa,9 wickets,Ahmedabad,26-02-2026,Aiden Markram
India,Zimbabwe,India,72 runs,Chennai,26-02-2026,Hardik Pandya
England,New Zealand,England,4 wickets,RPS Colombo,27-02-2026,Will Jacks
Sri Lanka,Pakistan,Pakistan,5 runs,Kandy,28-02-2026,Sahibzada Farhan
Zimbabwe,South Africa,South Africa,5 wickets,Delhi,01-03-2026,Sikandar Raza
India,West Indies,India,5 wickets,Kolkata,01-03-2026,Sanju Samson
South Africa,New Zealand,New Zealand,9 wickets,Kolkata,04-03-2026,Finn Allen
India,England,India,7 runs,Mumbai,05-03-2026,Sanju Samson
India,New Zealand,India,96 runs,Ahmedabad,08-03-2026,Jasprit Bumrah
