team1,team2,winner,margin,ground,match_date,potm
Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",Jan Frylinck
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",Bas de Leede
Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022",George Munsey
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022",Sikandar Raza
Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022",Bas de Leede
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022",Pathum Nissanka
Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022",Curtis Campher
West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022",Alzarri Joseph
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022",Kusal Mendis
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022",Muhammad Waseem
Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",Paul Stirling
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",Sikandar Raza
Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",Devon Conway
Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",Sam Curran
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",Pathum Nissanka
India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",Virat Kohli
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",Taskin Ahmed
South Africa,Zimbabwe,no result,,Hobart,"Oct 24, 2022",
Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",Marcus Stoinis
England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",Lorcan Tucker
Afghanistan,New Zealand,abandoned,,Melbourne,"Oct 26, 2022",
Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022",Rilee Rossouw
India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",Suryakumar Yadav
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,"Oct 27, 2022",Sikandar Raza
Afghanistan,Ireland,abandoned,,Melbourne,"Oct 28, 2022",
Australia,England,abandoned,,Melbourne,"Oct 28, 2022",
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022",Glenn Phillips
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022",Mosaddek Hossain
Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022",Shadab Khan
India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",Lungi Ngidi
Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022",Aaron Finch
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022",Charith Asalanka
England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022",Jos Buttler
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022",Max O'Dowd
Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",Virat Kohli
Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022",Shaheen Afridi
Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022",Kane Williamson
Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022",Glenn Maxwell
England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022",Sam Curran
Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022",Colin Ackermann
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022",Shaheen Afridi
India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",Suryakumar Yadav
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022",Mohammad Rizwan
England,India,England,10 wickets,Adelaide,"Nov 10, 2022",Alex Hales
England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022",Sam Curran

